109453	1.00000000 0.42166900 0.00001100 0.01090200 0.30958500 0.25783300
109473	1.00000000 0.29544200 0.00001400 0.13519100 0.29230400 0.27705000
109484	1.00000000 0.43851300 0.00000300 0.03071400 0.38449400 0.14627700
109492	1.00000000 0.33183000 0.00002200 0.01990400 0.44039000 0.20785500
109494	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109495	1.00000000 0.31327700 0.00012500 0.01841300 0.41055500 0.25763000
109498	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109501	1.00000000 0.24908600 0.00100900 0.51468200 0.06773200 0.16749100
109502	1.00000000 0.27712100 0.00013100 0.03815300 0.33583500 0.34876000
109503	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109505	1.00000000 0.37582900 0.00002500 0.03304100 0.34963700 0.24146800
109506	1.00000000 0.26435500 0.00001200 0.03739300 0.42064900 0.27759100
109508	1.00000000 0.26435500 0.00001200 0.03739300 0.42064900 0.27759100
109509	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109510	1.00000000 0.28790900 0.00002500 0.00898300 0.51133300 0.19175100
109511	1.00000000 0.38114900 0.00012900 0.06003800 0.26912900 0.28955400
109512	1.00000000 0.29732200 0.00002500 0.03495100 0.41356600 0.25413700
109513	1.00000000 0.21140600 0.00003600 0.00277300 0.56988600 0.21590000
109514	1.00000000 0.29775000 0.00001300 0.01160300 0.51218200 0.17845200
109515	1.00000000 0.28164900 0.00017300 0.19599400 0.15100300 0.37118200
109519	1.00000000 0.39684600 0.00000800 0.03728200 0.34632200 0.21954100
109520	1.00000000 0.01632800 0.95341900 0.00053800 0.00826300 0.02145200
109521	1.00000000 0.35939200 0.00000500 0.01971800 0.42757800 0.19330700
109522	1.00000000 0.21460500 0.00003700 0.41049300 0.09770400 0.27716200
109523	1.00000000 0.31689400 0.00002300 0.21089000 0.19801300 0.27418000
109524	1.00000000 0.27486800 0.00003200 0.04663900 0.36220900 0.31625200
109525	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109526	1.00000000 0.43243300 0.00000200 0.06905500 0.35177400 0.14673600
109527	1.00000000 0.37582900 0.00002500 0.03304100 0.34963700 0.24146800
109529	1.00000000 0.27431000 0.00003600 0.03904600 0.41786700 0.26874100
109530	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109531	1.00000000 0.37582900 0.00002500 0.03304100 0.34963700 0.24146800
109532	1.00000000 0.34604300 0.00000300 0.14150800 0.26090600 0.25154100
109533	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109534	1.00000000 0.33582400 0.00002400 0.09196400 0.27075300 0.30143500
109535	1.00000000 0.02301800 0.00000000 0.94011300 0.00754000 0.02932800
109536	1.00000000 0.34805800 0.00003100 0.01679200 0.41166900 0.22345000
109538	1.00000000 0.42349500 0.00000500 0.07167000 0.33042400 0.17440700
109540	1.00000000 0.31416800 0.00000600 0.01797400 0.48741200 0.18043900
109542	1.00000000 0.36690200 0.00002500 0.03054900 0.35242500 0.25009900
109543	1.00000000 0.37582900 0.00002500 0.03304100 0.34963700 0.24146800
109544	1.00000000 0.24587000 0.00000000 0.01973700 0.57015100 0.16424200
109417	1.00000000 0.37470000 0.00004200 0.05742400 0.35313100 0.21470300
109546	1.00000000 0.34253800 0.00000000 0.01240500 0.51270300 0.13235400
109547	1.00000000 0.26435500 0.00001200 0.03739300 0.42064900 0.27759100
109548	1.00000000 0.27712100 0.00013100 0.03815300 0.33583500 0.34876000
109550	1.00000000 0.26435500 0.00001200 0.03739300 0.42064900 0.27759100
109552	1.00000000 0.28164900 0.00017300 0.19599400 0.15100300 0.37118200
109545	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
