109568	1.00000000 0.00003100 0.99952600 0.00002400 0.00001100 0.00040700
109569	1.00000000 0.33487200 0.00000000 0.05433200 0.45247900 0.15831700
109570	1.00000000 0.22965100 0.00000100 0.50955800 0.11353800 0.14725200
109571	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109572	1.00000000 0.33060800 0.00072200 0.29322000 0.13960900 0.23584100
109573	1.00000000 0.36957000 0.00004900 0.03811600 0.32924300 0.26302200
109574	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109575	1.00000000 0.27844900 0.00000200 0.01210000 0.55751600 0.15193300
109576	1.00000000 0.21009800 0.00000600 0.39446200 0.16384000 0.23159500
109577	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109578	1.00000000 0.27431000 0.00003600 0.03904600 0.41786700 0.26874100
109579	1.00000000 0.22721800 0.14303400 0.00682700 0.23874400 0.38417700
109580	1.00000000 0.24812100 0.00005000 0.39991300 0.13360800 0.21830800
109581	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109582	1.00000000 0.00326500 0.00000000 0.99005900 0.00060400 0.00607200
109583	1.00000000 0.29732200 0.00002500 0.03495100 0.41356600 0.25413700
109584	1.00000000 0.21140600 0.00003600 0.00277300 0.56988600 0.21590000
109585	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109586	1.00000000 0.36729600 0.00000200 0.09812900 0.32249500 0.21207800
109587	1.00000000 0.30203500 0.00000000 0.17511300 0.18631900 0.33653200
109588	1.00000000 0.30665200 0.00003800 0.23141700 0.17830700 0.28358700
109589	1.00000000 0.21460500 0.00003700 0.41049300 0.09770400 0.27716200
109591	1.00000000 0.35625800 0.00012200 0.03894400 0.33474400 0.26993200
109592	1.00000000 0.26938100 0.00001700 0.23377800 0.19611600 0.30070700
109593	1.00000000 0.37582900 0.00002500 0.03304100 0.34963700 0.24146800
109594	1.00000000 0.25297600 0.00003300 0.21557200 0.20225500 0.32916400
109595	1.00000000 0.28397200 0.00000400 0.01843400 0.51254100 0.18504900
109596	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109597	1.00000000 0.14944300 0.03089800 0.07059900 0.13172300 0.61733700
109598	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109599	1.00000000 0.00326500 0.00000000 0.99005900 0.00060400 0.00607200
109600	1.00000000 0.33249500 0.00002900 0.04898800 0.35387400 0.26461400
109601	1.00000000 0.33681300 0.00000100 0.03742100 0.44864600 0.17711900
109602	1.00000000 0.27456000 0.00015000 0.00552100 0.47548600 0.24428300
109603	1.00000000 0.40663600 0.00000100 0.04512800 0.41516500 0.13307000
109605	1.00000000 0.31690700 0.00005200 0.13114500 0.21084200 0.34105400
109606	1.00000000 0.37582900 0.00002500 0.03304100 0.34963700 0.24146800
109607	1.00000000 0.00326500 0.00000000 0.99005900 0.00060400 0.00607200
109608	1.00000000 0.32508900 0.00003800 0.03492500 0.35666500 0.28328300
109609	1.00000000 0.35232500 0.00013400 0.01868000 0.38914200 0.23971900
109610	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109611	1.00000000 0.31111400 0.00019600 0.00591500 0.45847300 0.22430100
109612	1.00000000 0.27862600 0.00000000 0.03587400 0.55687600 0.12862300
109613	1.00000000 0.32534300 0.00000900 0.07635300 0.37976800 0.21852800
109614	1.00000000 0.27284700 0.00000200 0.01922500 0.51020900 0.19771700
109615	1.00000000 0.27431000 0.00003600 0.03904600 0.41786700 0.26874100
109616	1.00000000 0.33179200 0.00007100 0.20958500 0.20290100 0.25565100
109617	1.00000000 0.27712100 0.00013100 0.03815300 0.33583500 0.34876000
109618	1.00000000 0.38657200 0.00002000 0.01776600 0.37870200 0.21693900
109619	1.00000000 0.37582900 0.00002500 0.03304100 0.34963700 0.24146800
109620	1.00000000 0.35197600 0.00001500 0.12248100 0.22916600 0.29636200
109621	1.00000000 0.40958100 0.00000100 0.06484500 0.36825900 0.15731400
109622	1.00000000 0.33249500 0.00002900 0.04898800 0.35387400 0.26461400
109623	1.00000000 0.21009800 0.00000600 0.39446200 0.16384000 0.23159500
109624	1.00000000 0.30087800 0.00008500 0.01752000 0.35777300 0.32374500
109625	1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500
109626	1.00000000 0.01140900 0.00000100 0.96582700 0.00267600 0.02008600
109627	1.00000000 0.34132800 0.00000800 0.02068500 0.42255700 0.21542100
109628	1.00000000 0.34118000 0.00002300 0.08674300 0.31870800 0.25334600
109629	1.00000000 0.22464300 0.00023400 0.00117000 0.55907200 0.21488200
