109453	 1.00000000 0.00003100 0.99952600 0.00002400 0.00001100 0.00040700 
109473	 1.00000000 0.33487200 0.00000000 0.05433200 0.45247900 0.15831700 
109484	 1.00000000 0.22965100 0.00000100 0.50955800 0.11353800 0.14725200 
109492	 1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500 
109494	 1.00000000 0.33060800 0.00072200 0.29322000 0.13960900 0.23584100 
109495	 1.00000000 0.36957000 0.00004900 0.03811600 0.32924300 0.26302200 
109498	 1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500 
109501	 1.00000000 0.27844900 0.00000200 0.01210000 0.55751600 0.15193300 
109502	 1.00000000 0.21009800 0.00000600 0.39446200 0.16384000 0.23159500 
109503	 1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500 
109505	 1.00000000 0.27431000 0.00003600 0.03904600 0.41786700 0.26874100 
109506	 1.00000000 0.22721800 0.14303400 0.00682700 0.23874400 0.38417700 
109508	 1.00000000 0.24812100 0.00005000 0.39991300 0.13360800 0.21830800 
109509	 1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500 
109510	 1.00000000 0.00326500 0.00000000 0.99005900 0.00060400 0.00607200 
109511	 1.00000000 0.29732200 0.00002500 0.03495100 0.41356600 0.25413700 
109512	 1.00000000 0.21140600 0.00003600 0.00277300 0.56988600 0.21590000 
109513	 1.00000000 0.30600800 0.00045000 0.07704800 0.23043900 0.38605500 
109514	 1.00000000 0.36729600 0.00000200 0.09812900 0.32249500 0.21207800 
109515	 1.00000000 0.30203500 0.00000000 0.17511300 0.18631900 0.33653200 
