1	151
1	671
3	383
3	683
4	302
4	382
7	71
7	451
14	550
14	613
20	78
20	628
25	423
25	432
27	119
27	341
28	626
28	658
30	83
30	281
31	455
31	521
40	140
40	234
51	124
51	625
52	165
52	619
56	426
56	490
57	180
57	739
59	447
59	737
61	367
61	732
62	321
62	728
64	320
64	644
69	456
69	584
71	451
74	95
74	238
75	169
75	450
76	153
76	212
77	497
77	504
78	628
80	575
80	690
83	281
85	476
85	505
87	415
87	722
95	238
106	193
106	384
118	172
118	396
119	341
124	625
140	234
142	333
142	544
143	610
143	688
144	522
144	624
145	524
145	592
150	241
150	570
151	671
152	265
152	350
153	212
160	357
160	696
165	619
169	450
172	396
173	240
173	457
176	182
176	232
180	739
182	232
185	261
185	484
193	384
203	372
203	413
210	603
210	638
229	260
229	386
235	263
235	429
236	623
236	661
240	457
241	570
243	528
243	687
244	245
244	563
245	563
251	285
251	417
255	323
255	485
260	386
261	484
263	429
265	350
273	509
273	712
280	454
280	516
285	417
302	382
311	600
311	615
319	416
319	643
320	644
321	728
323	485
332	354
332	398
333	544
339	579
339	618
344	536
344	620
354	398
357	696
367	732
372	413
379	381
379	389
381	389
383	683
387	480
387	499
397	404
397	573
402	701
402	745
404	573
415	722
416	643
423	432
426	490
446	606
446	666
447	737
454	516
455	521
456	584
475	599
475	608
476	505
480	499
497	504
502	541
502	604
509	712
522	624
524	592
525	601
525	646
528	687
536	620
541	604
550	613
575	690
579	618
599	608
600	615
601	646
603	638
606	666
610	688
623	661
626	658
701	745
